Years	Justicia_bullata	Ruellia_chamaedrys	Schaueria_virginea	Stenandrium_goiasense	Stenostephanus_lobeliiformis	Alstroemeria_variegata	Alternanthera_malmeana	Chamissoa_acuminata	Froelichia_interrupta	Froelichia_procera	Gomphrena_schlechtendaliana	Gomphrena_sellowiana	Herbstia_brasiliana	Lecosia_oppositifolia	Griffinia_rochae	Schinopsis_brasiliensis	Annona_burchellii	Annona_calcarata	Annona_ferruginea	Annona_malmeana	Duguetia_rotundifolia	Malmea_obovata	Eryngium_dusenii	Eryngium_glaziovianum	Eryngium_stenophyllum	Aspidosperma_album	Aspidosperma_quebracho-blanco	Aspidosperma_sandwithianum	Macroscepis_aurea	Macroscepis_magnifica	Marsdenia_fontellana	Minaria_abortiva	Minaria_lourteigiae	Petalostelma_calcaratum	Anthurium_fontellanus	Asterostigma_cubense	Stenospermation_ulei	Wolffiella_oblonga	Hydrocotyle_exigua	Astrocaryum_minus	Wettinia_drudei	Aristolochia_curviflora	Aspilia_pohlii	Chromolaena_latisquamulosa	Dasyphyllum_synacanthum	Dimerostemma_bahiense	Dimerostemma_bishopii	Gardnerina_angustata	Isostigma_crithmifolium	Lepidaploa_adamantium	Lepidaploa_luetzelburgii	Lychnophora_blanchetii	Lychnophora_phylicifolia	Mikania_mosenii	Neblinaea_promontoriorum	Piptolepis_gardneri	Piptolepis_monticola	Piptolepis_oleaster	Stenocephalum_monticola	Stenopadus_aracaensis	Verbesina_polyanthes	Begonia_obscura	Jacaranda_bullata	Anemopaegma_patelliforme	Aechmea_candida	Aechmea_capixabae	Aechmea_entringeri	Aechmea_guarapariensis	Billbergia_lietzei	Billbergia_macrocalyx	Billbergia_pohliana	Billbergia_pyramidalis	Cryptanthus_correia-araujoi	Cryptanthus_grazielae	Cryptanthus_latifolius	Cryptanthus_leuzingerae	Cryptanthus_lutherianus	Cryptanthus_pseudoglazioui	Disteganthus_calatheoides	Dyckia_alba	Dyckia_brevifolia	Dyckia_choristaminea	Dyckia_commixta	Dyckia_dusenii	Dyckia_elisabethae	Dyckia_hebdingii	Dyckia_irmgardiae	Dyckia_julianae	Dyckia_polycladus	Dyckia_retroflexa	Dyckia_rigida	Neoregelia_binotii	Neoregelia_capixaba	Neoregelia_doeringiana	Neoregelia_guttata	Neoregelia_zaslawskyi	Neoregelia_zonata	Orthophytum_estevesii	Quesnelia_imbricata	Racinaea_domingos-martinis	Tillandsia_duratii	Tillandsia_duratii	Tillandsia_itaubensis	Tillandsia_montana	Tillandsia_recurvifolia	Tillandsia_toropiensis	Tillandsia_winkleri	Vriesea_appariciana	Vriesea_belloi	Vriesea_breviscapa	Vriesea_clausseniana	Vriesea_colnagoi	Vriesea_debilis	Vriesea_fosteriana	Vriesea_goniorachis	Vriesea_languida	Vriesea_morrenii	Vriesea_muelleri	Vriesea_pabstii	Vriesea_parviflora	Vriesea_pereirae	Vriesea_plurifolia	Vriesea_procera	Vriesea_recurvata	Vriesea_repandostachys	Vriesea_rhodostachys	Vriesea_saundersii	Vriesea_schunkii	Vriesea_schwackeana	Vriesea_seideliana	Vriesea_thyrsoidea	Vriesea_triangularis	Discocactus_ferricola	Discocactus_heptacanthus	Frailea_curvispina	Frailea_schilinzkyana	Gymnocalycium_horstii	Gymnocalycium_horstii	Hatiora_cylindrica	Hatiora_rosea	Parodia_alacriportana	Parodia_arnostiana	Parodia_buiningii	Parodia_haselbergii	Parodia_haselbergii	Parodia_herteri	Parodia_horstii	Parodia_leninghausii	Parodia_magnifica	Parodia_neohorstii	Parodia_schumanniana	Pilosocereus_aureispinus	Pseudoacanthocereus_brasiliensis	Rhipsalis_baccifera	Rhipsalis_crispata	Rhipsalis_dissimilis	Rhipsalis_sulcata	Tacinga_funalis	Tacinga_inamoena	Tacinga_saxatilis	Tacinga_werneri	Elachyptera_coriacea	Maytenus_comocladiaeformis	Maytenus_radlkoferiana	Licania_bellingtonii	Licania_anneae	Terminalia_reitzii	Aniseia_martinicensis	Convolvulus_hasslerianus	Evolvulus_barbatus	Ipomoea_argentea	Ipomoea_campestris	Ipomoea_cynanchifolia	Ipomoea_hirsutissima	Cayaponia_pedata	Eleocharis_stenocarpa	Eleocharis_urceolata	Rhynchospora_paranaensis	Dioscorea_aesculifolia	Actinocephalus_cabralensis	Actinocephalus_heterotrichus	Comanthera_chrysolepis	Comanthera_magnifica	Comanthera_suberosa	Comanthera_vernonioides	Comanthera_vernonioides	Eriocaulon_melanolepis	Leiothrix_gomesii	Leiothrix_linearis	Leiothrix_schlechtendalii	Paepalanthus_argenteus	Paepalanthus_bellus	Paepalanthus_catharinae	Paepalanthus_crinitus	Paepalanthus_extremensis	Paepalanthus_garimpensis	Paepalanthus_grao-mogolensis	Paepalanthus_langsdorffii	Paepalanthus_lepidus	Paepalanthus_rhizomatosus	Paepalanthus_scytophyllus	Paepalanthus_uncinatus	Paepalanthus_xiphophyllus	Bernardia_similis	Croton_arlineae	Croton_glechomifolius	Croton_luetzelburgii	Abarema_acreana	Abarema_villifera	Aeschynomene_sensitiva	Bauhinia_marginata	Bionia_bella	Bocoa_ratteri	Calliandra_imbricata	Calliandra_santosiana	Centrosema_jaraguaense	Centrosema_teresae	Chamaecrista_aristata	Chamaecrista_brevicalyx	Chamaecrista_dentata	Chamaecrista_strictifolia	Eriosema_glaziovii	Eriosema_platycarpon	Inga_bollandii	Inga_cabelo	Inga_exilis	Inga_leptantha	Inga_microcalyx	Inga_salicifoliola	Inga_santaremnensis	Inga_suberosa	Inga_xinguensis	Lathyrus_hookeri	Lathyrus_parodii	Lonchocarpus_muehlbergianus	Lonchocarpus_torrensis	Lupinus_linearis	Lupinus_ovalifolius	Lupinus_parvifolius	Lupinus_prouvensalanus	Mimosa_acutistipula	Mimosa_exalbescens	Mimosa_glycyrrhizoides	Mimosa_humifusa	Mimosa_lanata	Mimosa_leptantha	Mimosa_niomarlei	Mimosa_pabstiana	Phanera_grazielae	Phanera_smilacina	Rhynchosia_leucophylla	Senegalia_parviceps	Stylosanthes_nunoi	Tachigali_hypoleuca	Trifolium_argentinense	Vicia_tephrosoides	Zornia_mitziana	Voyria_aphylla	Anetanthus_gracilis	Besleria_meridionalis	Mandirola_ichthyostoma	Sinningia_conspicua	Vanhouttea_bradeana	Vanhouttea_fruticulosa	Pseudotrimezia_aminae	Isoetes_organensis	Lacistema_lucidum	Hyptis_bombycina	Hyptis_tetracephala	Hyptis_tricephala	Aiouea_macedoana	Aniba_pedicellata	Cinnamomum_taubertianum	Nectandra_debilis	Nectandra_embirensis	Nectandra_impressa	Nectandra_japurensis	Nectandra_matogrossensis	Nectandra_spicata	Nectandra_venulosa	Nectandra_weddellii	Persea_punctata	Persea_rigida	Allantoma_integrifolia	Allantoma_kuhlmannii	Allantoma_pauciramosa	Allantoma_uaupensis	Cariniana_penduliflora	Couratari_longipedicellata	Couratari_prancei	Eschweilera_amazoniciformis	Eschweilera_rabeliana	Gustavia_erythrocarpa	Gustavia_longepetiolata	Lecythis_barnebyi	Utricularia_biovularioides	Utricularia_warmingii	Linum_carneum	Linum_erigeroides	Spigelia_kleinii	Diplusodon_vidalii	Lafoensia_vandelliana	Pterandra_andersonii	Stigmaphyllon_hatschbachii	Tetrapterys_cordifolia	Abutilon_monteiroi	Abutilon_venosum	Akrosida_macrophylla	Byttneria_implacabilis	Cienfuegosia_drummondii	Cienfuegosia_sulfurea	Pavonia_alnifolia	Pavonia_kleinii	Pavonia_tricalycaris	Rhynchosida_physocalyx	Calathea_bella	Calathea_fatimae	Calathea_singularis	Calathea_wiotii	Thalia_multiflora	Cambessedesia_glaziovii	Cambessedesia_striatella	Fritzschia_anisostemon	Fritzschia_integrifolia	Henriettea_gomesii	Huberia_laurina	Lavoisiera_itambana	Lavoisiera_mello-barretoi	Lavoisiera_quinquenervis	Lavoisiera_rigida	Lavoisiera_sampaioana	Leandra_humilis	Marcetia_bracteolaris	Microlicia_cardiophora	Microlicia_elegans	Microlicia_juniperina	Microlicia_melanostagma	Svitramia_petiolata	Tibouchina_eichleri	Guarea_crispa	Guarea_cristata	Guarea_sprucei	Trichilia_hispida	Trichilia_surumuensis	Dorstenia_albertii	Dorstenia_fischeri	Dorstenia_sucrei	Ficus_aripuanensis	Ficus_blepharophylla	Ficus_malacocarpa	Ficus_roraimensis	Ficus_schippii	Ficus_schultesii	Ficus_schumacheri	Ficus_ursina	Ficus_velutina	Helicostylis_heterotricha	Perebea_rubra	Calyptranthes_dryadica	Calyptranthes_pereireana	Campomanesia_lundiana	Myrciaria_tenella	Neomitranthes_capivariensis	Acianthera_ophiantha	Acianthera_pernambucensis	Anathallis_bleyensis	Anathallis_crebrifolia	Anathallis_kautskyi	Barbosella_spiritusanctensis	Bipinnula_montana	Capanemia_fluminensis	Chytroglossa_paulensis	Comparettia_falcata	Constantia_cristinae	Constantia_microscopica	Constantia_rupestris	Dryadella_gomesferreirae	Dryadella_kautskyi	Eltroplectris_kuhlmanniana	Encyclia_fowliei	Epidendrum_infaustum	Epidendrum_kautskyi	Epidendrum_polyanthum	Eulophia_ruwenzoriensis	Gomesa_doeringii	Habenaria_aphylla	Habenaria_hydrophila	Habenaria_jordanensis	Habenaria_santensis	Homalopetalum_hypoleptum	Lepanthopsis_densiflora	Mormolyca_galeata	Octomeria_decumbens	Pelexia_laxa	Phragmipedium_lindleyanum	Rodriguezia_rigida	Selenipedium_isabelianum	Stanhopea_insignis	Vanilla_organensis	Warczewiczella_candida	Warczewiczella_wailesiana	Passiflora_saccoi	Ottonia_sampaioi	Peperomia_adsurgens	Peperomia_apiahyensis	Peperomia_cooperi	Peperomia_distachya	Peperomia_regelii	Peperomia_riparia	Piper_abbadianum	Piper_crassistilum	Piper_subrugosum	Piper_vaginans	Piper_velutinibaccum	Acroceras_excavatum	Aristida_sanctae-luciae	Ctenium_cirrhosum	Filgueirasia_cannavieira	Merostachys_neesii	Borreria_burchellii	Borreria_guimaraesensis	Borreria_irwiniana	Borreria_pulchristipula	Borreria_rosmarinifolia	Borreria_tocantinsiana	Bradea_kuhlmanni	Diodia_macrophylla	Galianthe_matogrossiana	Guettarda_platyphylla	Rudgea_minor	Simira_rubra	Chrysophyllum_acreanum	Chrysophyllum_bombycinum	Chrysophyllum_durifructum	Chrysophyllum_ovale	Chrysophyllum_paranaense	Chrysophyllum_subspinosum	Chrysophyllum_superbum	Ecclinusa_bullata	Ecclinusa_lancifolia	Manilkara_cavalcantei	Manilkara_elata	Manilkara_excelsa	Micropholis_caudata	Micropholis_grandiflora	Micropholis_retusa	Pouteria_brevensis	Pouteria_crassiflora	Pouteria_exstaminodia	Pouteria_fulva	Pouteria_latianthera	Pouteria_lucens	Pouteria_maguirei	Pouteria_microstrigosa	Pouteria_nudipetala	Pouteria_pachyphylla	Pouteria_pallens	Pouteria_polysepala	Pouteria_pubescens	Pouteria_putamen-ovi	Pouteria_rodriguesiana	Pouteria_scrobiculata	Pouteria_stenophylla	Pouteria_tarumanensis	Pouteria_tenuisepala	Pradosia_atroviolacea	Pradosia_decipiens	Pradosia_glaziovii	Pradosia_verrucosa	Sarcaulus_inflexus	Calibrachoa_serrulata	Lycium_glomeratum	Schwenckia_lateriflora	Solanum_ovum-fringillae	Symplocos_altissima	Piriqueta_araguaiana	Piriqueta_cristobaliae	Piriqueta_emasensis	Piriqueta_lourteigiae	Turnera_asymmetrica	Turnera_elliptica	Turnera_gardneriana	Turnera_princeps	Turnera_reginae	Coussapoa_floccosa	Pilea_hydra	Pilea_rhizobola	Barbacenia_ensifolia	Barbacenia_hirtiflora	Vellozia_asperula	Hybanthus_velutinus	Rinorea_maximiliani	Cissus_trianae
2006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
2011	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2012	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2013	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
